,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
1274,The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0,XboxOne
1275,Puyo Puyo Tetris,2014,Puzzle,Sega,0.0,0.0,0.0,0.0,0.0,XboxOne
1276,Cult County,2015,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0,XboxOne
1277,Adr1ft,2016,Adventure,505 Games,0.0,0.0,0.0,0.0,0.0,XboxOne
1278,R.B.I. Baseball 14,2014,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0,XboxOne
1279,Blue EstateÊ,2014,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,XboxOne
1280,Space Hulk: Deathwing,2015,Shooter,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,XboxOne
1281,Mystereet F: The Detectives' Curtain Call,2014,Misc,5pb,0.0,0.0,0.0,0.0,0.0,XboxOne
1282,Chaos;Child,2014,Visual Novel,5pb,0.0,0.0,0.0,0.0,0.0,XboxOne
1283,Scalebound,2014,Action,PlatinumGames,0.0,0.0,0.0,0.0,0.0,XboxOne
1284,Crackdown 3,2019,Action,Microsoft Studios,0.0,0.0,0.0,0.0,0.0,XboxOne
1285,EA Sports PGA Tour,2015,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0,XboxOne
1286,Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0.0,0.0,0.0,0.0,0.0,XboxOne
1287,Dead Island 2,2017,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0,XboxOne
1288,Tetris UltimateÊ,2014,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0,XboxOne
1289,Afro Samurai 2,2015,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0,XboxOne
1290,The Legend of Korra (2014),2014,Action,Activision,0.0,0.0,0.0,0.0,0.0,XboxOne
1291,Shooting Love Trilogy,2015,Shooter,Triangle Service,0.0,0.0,0.0,0.0,0.0,XboxOne
1292,King of Wushu,2015,Action,Snail Game,0.0,0.0,0.0,0.0,0.0,XboxOne
1293,MercuryÊ,2015,Action,Unknown,0.0,0.0,0.0,0.0,0.0,XboxOne
1294,Raiden V,2016,Action,Moss,0.0,0.0,0.0,0.0,0.0,XboxOne
1295,Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0.0,0.0,0.0,0.0,0.0,XboxOne
1296,Pathologic,2015,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0,XboxOne
1297,Assassin's Creed: Victory,2015,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0,XboxOne
1298,R.B.I. Baseball 15,2015,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0,XboxOne
1299,Cross Reverie,2017,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,XboxOne
1300,The Escapists: The Walking Dead,2015,Action,Team17 Software,0.0,0.0,0.0,0.0,0.0,XboxOne
1301,Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,XboxOne
1302,Professional Farmer 2016,2015,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,XboxOne
1303,Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,XboxOne
1304,Alekhine's Gun,2016,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0,XboxOne
1305,World to the West,2017,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,XboxOne
1306,Super Dungeon Bros,2016,Action,Wired Productions,0.0,0.0,0.0,0.0,0.0,XboxOne
1307,Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,XboxOne
1308,We Sing (2016),2016,Music,THQ Nordic,0.0,0.0,0.0,0.0,0.0,XboxOne
1309,Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0,XboxOne
1310,Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0,XboxOne
1311,Metro Exodus,2019,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0,XboxOne
1312,Anthem,2019,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0,XboxOne
1313,AereA,2017,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0,XboxOne
1314,Moons Of Madness,2018,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0,XboxOne
1315,Iron Harvest,2018,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0,XboxOne
1316,Biomutant,2018,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,XboxOne
1317,Biomutant,2019,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,XboxOne
1318,de Blob,2017,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0,XboxOne
1319,Outcast: Second Contact,2017,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0,XboxOne
1320,Code Vein,2019,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0,XboxOne
