,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
203,Rock Band 4,2015,Music,Harmonix Music Systems,0.41,0.06,0.0,0.1,0.57,PS4
204,NHL 18,2017,Sports,EA Sports,0.31,0.16,0.0,0.1,0.57,PS4
205,Everybody's Golf,2017,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56,PS4
206,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56,PS4
207,DOOM VFR,2017,Shooter,Bethesda Softworks,0.22,0.25,0.0,0.09,0.56,PS4
208,Sonic Forces,2017,Platform,Sega,0.15,0.31,0.01,0.09,0.56,PS4
209,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.18,0.28,0.0,0.09,0.56,PS4
210,Lords of the Fallen,2014,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55,PS4
211,Sniper Elite 4,2017,Shooter,Rebellion Developments,0.21,0.25,0.0,0.09,0.55,PS4
212,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.19,0.27,0.0,0.09,0.55,PS4
213,Project CARS 2,2017,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55,PS4
214,Skylanders: Trap Team,2014,Platform,Activision,0.25,0.18,0.0,0.09,0.52,PS4
215,NHL 17,2016,Sports,EA Sports,0.32,0.11,0.0,0.09,0.52,PS4
216,One Piece: Pirate Warriors 3,2015,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52,PS4
217,DiRT Rally,2016,Racing,Codemasters,0.13,0.3,0.0,0.08,0.51,PS4
218,Homefront: The Revolution,2016,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5,PS4
219,Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5,PS4
220,DiRT 4,2017,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49,PS4
221,Farpoint,2017,Shooter,Sony Interactive Entertainment,0.0,0.38,0.04,0.06,0.48,PS4
222,Battleborn,2016,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48,PS4
223,A Way Out,2018,Action,Electronic Arts,0.23,0.16,0.0,0.08,0.48,PS4
224,Friday the 13th: The Game,2017,Action,Gun Media,0.29,0.09,0.03,0.08,0.48,PS4
225,The Walking Dead: A Telltale Games Series,2014,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48,PS4
226,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48,PS4
227,Deadpool,2015,Action,Activision,0.26,0.13,0.0,0.08,0.47,PS4
228,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,Square Enix,0.05,0.09,0.3,0.03,0.47,PS4
229,TrackMania Turbo,2016,Racing,Ubisoft,0.04,0.35,0.0,0.07,0.47,PS4
230,Knack 2,2017,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47,PS4
231,Just Dance 2014,2013,Music,Ubisoft,0.21,0.18,0.0,0.08,0.47,PS4
232,Dissidia Final Fantasy NT,2018,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46,PS4
233,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.29,0.09,0.0,0.08,0.45,PS4
234,Yakuza Kiwami,2016,Adventure,Sega,0.13,0.07,0.21,0.04,0.45,PS4
235,Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07,0.45,PS4
236,Star Ocean 5: Integrity and Faithlessness,2016,Role-Playing,Square Enix,0.1,0.13,0.16,0.05,0.45,PS4
237,Sleeping Dogs,2014,Action,Square Enix,0.16,0.21,0.0,0.07,0.44,PS4
238,Skylanders SWAP Force,2013,Misc,Activision,0.23,0.14,0.0,0.08,0.44,PS4
239,Skylanders Imaginators,2016,Platform,Activision,0.18,0.18,0.0,0.07,0.43,PS4
240,Trials Fusion,2014,Misc,Ubisoft,0.13,0.23,0.01,0.07,0.43,PS4
241,Saints Row IV,2015,Action,Deep Silver,0.15,0.18,0.03,0.06,0.42,PS4
242,Dishonored,2015,Action,Bethesda Softworks,0.12,0.21,0.02,0.06,0.42,PS4
243,Mirror's Edge 2,2016,Platform,Electronic Arts,0.13,0.19,0.03,0.06,0.42,PS4
